id_secundario,nombre_secundario,id_canonico,nombre_canonico,norm_name,sexo,nocs,part_secundario,part_canonico
224164,Jeremy Fox,224160,Jeremy Fox,jeremy fox,male,78,1,1
224165,Jeremy Fox,224160,Jeremy Fox,jeremy fox,male,78,1,1
224166,Jeremy Fox,224160,Jeremy Fox,jeremy fox,male,78,1,1
224167,Jeremy Fox,224160,Jeremy Fox,jeremy fox,male,78,1,1
224174,Thomas Fox,224173,Thomas Fox,thomas fox,male,78,1,1
224185,Robert Foxcroft,224184,Robert Foxcroft,robert foxcroft,male,38,1,1
224186,Robert Foxcroft,224184,Robert Foxcroft,robert foxcroft,male,38,1,1
224187,Robert Foxcroft,224184,Robert Foxcroft,robert foxcroft,male,38,1,1
224190,Michael Foy,224189,Michael Foy,michael foy,male,223,1,1
224198,Marit Frafjord,224197,Marit Frafjord,marit frafjord,female,155,1,1
224199,Marit Frafjord,224197,Marit Frafjord,marit frafjord,female,155,1,1
224210,Antonio Castany,224209,Antonio Castany,antonio castany,male,67,1,1
224211,Antonio Castany,224209,Antonio Castany,antonio castany,male,67,1,1
224212,Antonio Castany,224209,Antonio Castany,antonio castany,male,67,1,1
224213,Antonio Castany,224209,Antonio Castany,antonio castany,male,67,1,1
224214,Antonio Castany,224209,Antonio Castany,antonio castany,male,67,1,1
224215,Antonio Castany,224209,Antonio Castany,antonio castany,male,67,1,1
224217,Cristina Snchez,224216,Cristina Snchez,cristina snchez,female,67,1,1
224218,Cristina Snchez,224216,Cristina Snchez,cristina snchez,female,67,1,1
224219,Cristina Snchez,224216,Cristina Snchez,cristina snchez,female,67,1,1
224220,Cristina Snchez,224216,Cristina Snchez,cristina snchez,female,67,1,1
224221,Cristina Snchez,224216,Cristina Snchez,cristina snchez,female,67,1,1
224223,Sonia Snchez,224222,Sonia Snchez,sonia snchez,female,67,1,1
224224,Sonia Snchez,224222,Sonia Snchez,sonia snchez,female,67,1,1
224225,Sonia Snchez,224222,Sonia Snchez,sonia snchez,female,67,1,1
224226,Sonia Snchez,224222,Sonia Snchez,sonia snchez,female,67,1,1
224227,Sonia Snchez,224222,Sonia Snchez,sonia snchez,female,67,1,1
224231,Jean Gaulayrie,224230,Jean Gaulayrie,jean gaulayrie,male,73,1,1
224244,Linley (-anstey),224243,Linley (-anstey),linley (-anstey),female,14,1,1
224246,Javier Maggi,224245,Javier Maggi,javier maggi,male,10,1,1
224247,Javier Maggi,224245,Javier Maggi,javier maggi,male,10,1,1
224248,Javier Maggi,224245,Javier Maggi,javier maggi,male,10,1,1
224249,Javier Maggi,224245,Javier Maggi,javier maggi,male,10,1,1
224250,Javier Maggi,224245,Javier Maggi,javier maggi,male,10,1,1
224285,Salvador Martnez,224284,Salvador Martnez,salvador martnez,male,67,1,1
224290,Zsuzsanna Francia,224289,Zsuzsanna Francia,zsuzsanna francia,female,223,1,1
224292,Francielle Alberto,224291,Francielle Alberto,francielle alberto,female,31,1,1
224294,Francielle Nascimento,224293,Francielle Nascimento,francielle nascimento,female,31,1,1
224304,Amadeo Jr.,224303,Amadeo Jr.,amadeo jr.,male,170,1,1
224310,Diane (dunrod-),224309,Diane (dunrod-),diane (dunrod-),female,186,1,1
224322,William Francis,224321,William Francis,william francis,male,78,1,1
224337,Brbara Solana,224336,Brbara Solana,brbara solana,female,67,1,1
